unitID,unitName,corporation,unitType,attackType,weaponType,reloadType,additionalEffect,attackPower,impact,accumulativeImpact,blastRadius,atkHeatBuildup,consecutiveHits,chgAttackPower,chgImpact,chgAccumImpact,chgBlastRadius,chgHeatBuildup,fullChgAttackPower,fullChgImpact,fullChgAccumImpact,fullChgBlastRadius,fullChgHeatBuildup,directHitAdjustment,paInterference,guidance,recoil,idealRange,effectiveRange,homingLockTime,maxLockCount,rapidFire,chgENLoad,fullChgTime,fullChgAmmoConsumption,chargeTime,chgAmmoConsumption,magazineRounds,totalRounds,reloadTime,cooling,ammunitionCost,weight,enLoad
1,PB-033M Ashmead,Balam Industries,Pile Bunker,Kinetic,Melee,Overheat,,1688,1150,850,,,1,4630,1800,1100,,,,,,,,150,135,,,,,,,,,,,,,,,,284,,4180,225
2,DF-ET-09 Tai-Yang-Shou,Dafeng Core Industry,Explosive Thrower,Explosive,Semi-Auto,Single Shot,,1142,830,650,20,,,1142,830,650,25,,,,,,,190,,,,,125,,,,,,,,,,48,3.1,,600,3790,160
3,WB-0010 Double Trouble,Reuse and Development,Chainsaw,Kinetic,Melee,Overheat,,1025,750,375,,,2,2970,2380,840,,,,,,,,270,119,,,,,,,,,,,,,,,,302,,5090,108
4,VP-67EB,Arquebus Corporation,Stun Baton,Kinetic,Melee,Overheat,Shock,293,215,85,,,3,1971,1360,590,,,,,,,,215,140,,,,,,,,,,,,,,,,1156,,1720,198
5,VP-67LD,Arquebus Corporation,Laser Dagger,Energy,Melee,Overheat,,752,310,120,,,3,1688,1100,375,,,,,,,,175,118,,,,,,,,,,,,,,,,1308,,1350,150
6,Vvc-770LB,Vice and Cohen Plasma Laboratory,Laser Blade,Energy,Melee,Overheat,,1630,1100,330,,,1,1450*2,750*2,360*2,,,,,,,,195,127,,,,,,,,,,,,,,,,402,,2060,245
7,Vvc-774LS,Vice and Cohen Plasma Laboratory,Laser Slicer,Energy,Melee,Overheat,,1615,900,225,,,2,2612,1500,375,,,,,,,,185,122,,,,,,,,,,,,,,,,267,,3260,328
8,VE-67LLA,Arquebus Advanced Development Division,Laser Lance,Energy,Melee,Overheat,,1151,800,400,,,1,2381,1870,960,,,,,,,,195,138,,,,,,,,,,,,,,,,263,,4520,460
9,44-143 HMMR,ALLMIND,Plasma Thrower,Kinetic,Melee,Overheat,,1208,690,440,,,2,265*6,33*6,22*6,20,,,,,,,165,142,,,,78,,,,,,,,,,,,366,,2410,311
10,HI-32: BU-TT/A,Takigawa Harmonics,Pulse Blade,Energy,Melee,Overheat,,963,710,450,,,2,1586,1200,650,,,,,,,,230,147,,,,,,,,,,,,,,,,282,,1800,213
11,IA-C01W2: Moonlight,Rubicon Research Institute,Light Wave Blade,Energy,Melee,Overheat,,615,495,495,,,2,2310,910,910,,,,,,,,175,112,,,,280,,,,,,,,,,,,265,,2200,544
12,IA-C01W7: ML-Redshift,Rubicon Research Institute,Coral Oscillator,Coral,Melee,Overheat,,727,530,530,,,2,1614,820,820,,,,,,,,190,126,,,,280,,,,,,,,,,,,209,,2200,544
13,IB-C03W2: WLT 101,Rubicon Research Institute,Coral Oscillator,Coral,Melee,Overheat,,1460,960,960,,,1,1950,1450,1450,,,,,,,,210,140,,,,,,,,,,,,,,,,231,,2030,578
14,MA-J-200 Ransetsu-RF,Belius Applied Weapon Systems,Burst Rifle,Kinetic,Charge,Magazine,,224,245,91,,,,224*3,245*3,91*3,,,,,,,,220,,,12,180,321,,,1.5,,,,0.7,,15,375,1.8,,100,4210,158
15,LR-036 Curtis,Balam Industries,Linear Rifle,Kinetic,Charge,Magazine,,142,135,52,,,,689,850,260,,550,,,,,,220,,,19,190,337,,,2.5,,,,0.5,,12,420,2.2,155,100,4150,289
16,LR-037 Harris,Balam Industries,Linear Rifle,Kinetic,Charge,Magazine,,251,285,109,,,,997,1250,380,,1000,,,,,,220,,,35,195,376,,,1.3,,,,0.8,,10,360,3,350,200,4840,441
17,RF-024 Turner,Balam Industries,Assault Rifle,Kinetic,Full-Auto,Magazine,,105,65,28,,,,,,,,,,,,,,185,,,13,171,308,,,3.4,,,,,,18,540,2.2,,40,3560,102
18,RF-025 Scudder,Balam Industries,Assault Rifle,Kinetic,Full-Auto,Magazine,,135,82,39,,,,,,,,,,,,,,185,,,15,173,317,,,2.9,,,,,,15,450,2.4,,50,3830,153
19,MA-J-201 Ransetsu-AR,Belius Applied Weapon Systems,Burst Assault Rifle,Kinetic,Full-Auto,Magazine,,77*3,64*3,25*3,,,,,,,,,,,,,,185,,,7,165,303,,,3.2,,,,,,18,450,1.9,,40,3620,132
20,MG-014 Ludlow,Balam Industries,Machine Gun,Kinetic,Full-Auto,Magazine,,42,41,19,,,,,,,,,,,,,,195,,,4,127,249,,,10,,,,,,30,720,1.5,,20,2450,82
21,DF-MG-02 Chang-Chen,Dafeng Core Industry,Machine Gun,Kinetic,Full-Auto,Magazine,,39,40,18,,,,,,,,,,,,,,195,,,5,114,234,,,10,,,,,,45,990,2.2,,20,3280,143
