,actual value,r-arm_unit,l-arm_unit,r-back_unit,l-back_unit,head,core,arms,legs,booster,fcs,generator,expansion,total,rule
unitName,,WS-1200 Therapist,Vvc-774LS,BO-044 Huxley,BO-044 Huxley,EL-PH-00 Alba,Nachtreiher/40E,VP-46D,Nachtreiher/42E,BST-G2/P06SPD,FC-008 Talbot,VE-20C,Pulse Armor,,
ap,8310,,,,,600,2630,1620,3460,,,,,8310,a simple sum of values
antiKineticDefense,1011,,,,,171,349,196,295,,,,,1011,a simple sum of values
antiEnergyDefense,1090,,,,,171,359,230,330,,,,,1090,a simple sum of values
antiExplosiveDefense,990,,,,,171,331,190,298,,,,,990,a simple sum of values
attitudeStability,1493,,,,,465,366,,662,,,,,1493,a simple sum of values
attitudeRecovery,119,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,0,
targetTracking,96,,,,,,,,,,,,,0,considering making firearm specialization equal a value for target tracking
,,,,,,,,,,,,,,0,
boostSpeed,380,,,,,,,,,,,,,0,
qbSpeed,338,,,,,,,,,,,,,0,
qbENConsumption,518,,,,,,,,,,,,,0,
qbReloadTime,0.5,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,0,
enCapacity,3690,,,,,,,,,,,,,0,
enSupplyEfficiency,3558,,,,,,,,,,,,,0,
enRechargeDelay,1.64,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,0,
totalWeight,60230,3180,3260,2230,2230,2800,9820,10990,14030,1420,140,10130,,60230,a simple sum of values
,,,,,,,,,,,,,,,
totalArmsLoad,6440,,,,,,,,,,,,,10900,
armsLoadLimit,11800,,,,,,,,,,,,,11800,armLoadLimit
totalLoad,46200,,,,,,,,,,,,,,
loadLimit,48650,,,,,,,,,,,,,,
totalENLoad,3227,,,,,,,,,,,,,,
enOutput,3721,,,,,,,,,,,,,,
